symbol,articlesInLastWeek,companyNewsScore,bearishPercent,bullishPercent,averageSentimentScore,totalArticles,sectorAverageBullishPercent,sectorAverageNewsScore,sector,marketCap,peRatio,price
LC,5,0.5706,0.4,0.6,0.1412,5,0.0,0.0,Unknown,0.0,0.0,0.0
EL,4,0.5701,0.0,0.5,0.1402,4,0.5072,0.5582,Consumer Defensive,24714960896.0,NaN,68.7
GLRY,4,0.5701,0.0,1.0,0.1403,4,0.0,0.0,Unknown,0.0,0.0,0.0
VENU,5,0.5695,0.0,0.4,0.1391,5,0.0,0.0,Unknown,0.0,0.0,0.0
CYTK,7,0.5694,0.0,0.8571,0.1389,7,0.0,0.0,Unknown,0.0,0.0,0.0
TPC,6,0.5694,0.0,0.6667,0.1389,6,0.0,0.0,Unknown,0.0,0.0,0.0
TOP,12,0.5692,0.0,0.6667,0.1384,12,0.0,0.0,Unknown,0.0,0.0,0.0
CMDT,3,0.5691,0.0,1.0,0.1383,3,0.0,0.0,Unknown,0.0,0.0,0.0
BITF,80,0.569,0.0,0.625,0.1379,80,0.0,0.0,Unknown,0.0,0.0,0.0
BALI,3,0.5689,0.0,1.0,0.1379,3,0.0,0.0,Unknown,0.0,0.0,0.0
DVN,3,0.5688,0.0,0.3333,0.1376,3,0.4139,0.5598,Energy,19665274880.0,6.98,30.63
ARR,26,0.5687,0.0,0.6538,0.1374,26,0.0,0.0,Unknown,0.0,0.0,0.0
CBS,6,0.5687,0.0,0.6667,0.1375,6,0.0,0.0,Unknown,0.0,0.0,0.0
BRW,3,0.5687,0.0,0.6667,0.1374,3,0.0,0.0,Unknown,0.0,0.0,0.0
BUG,3,0.5684,0.0,1.0,0.1368,3,0.0,0.0,Unknown,0.0,0.0,0.0
NCLH,5,0.5683,0.0,0.6,0.1367,5,0.4488,0.5652,Consumer Cyclical,7870505472.0,10.01,17.61
UMH,4,0.5682,0.0,1.0,0.1364,4,0.0,0.0,Unknown,0.0,0.0,0.0
IVR,3,0.5681,0.0,0.6667,0.1363,3,0.0,0.0,Unknown,0.0,0.0,0.0
CIBR,4,0.5678,0.0,0.5,0.1356,4,0.0,0.0,Unknown,0.0,0.0,0.0
IP,14,0.5677,0.0,0.7857,0.1353,14,0.4488,0.5652,Consumer Cyclical,25138694144.0,40.7,47.62
STN,6,0.5675,0.0,0.3333,0.1351,6,0.0,0.0,Unknown,0.0,0.0,0.0
MSTR,91,0.5674,0.0,0.6374,0.1348,91,0.0,0.0,Unknown,0.0,0.0,0.0
THC,5,0.5671,0.0,0.2,0.1342,5,0.0,0.0,Unknown,0.0,0.0,0.0
PLC,65,0.567,0.0,0.4462,0.134,65,0.0,0.0,Unknown,0.0,0.0,0.0
YETI,5,0.567,0.0,1.0,0.1341,5,0.0,0.0,Unknown,0.0,0.0,0.0
IBM,16,0.5668,0.0,0.5,0.1335,16,0.5672,0.5757,Technology,240137601024.0,44.09,258.38
SPOT,3,0.5667,0.0,0.3333,0.1333,3,0.0,0.0,Unknown,0.0,0.0,0.0
ORAN,3,0.5667,0.0,0.6667,0.1333,3,0.0,0.0,Unknown,0.0,0.0,0.0
III,40,0.5665,0.05,0.65,0.1331,40,0.0,0.0,Unknown,0.0,0.0,0.0
BCI,6,0.5665,0.0,0.3333,0.1331,6,0.0,0.0,Unknown,0.0,0.0,0.0
DHX,3,0.5664,0.0,0.3333,0.1328,3,0.0,0.0,Unknown,0.0,0.0,0.0
FICO,11,0.5663,0.0909,0.8182,0.1326,11,0.5672,0.5757,Technology,39692791808.0,70.38,1630.65
BBAI,140,0.5661,0.0,0.6357,0.1322,140,0.0,0.0,Unknown,0.0,0.0,0.0
SERA,4,0.566,0.0,0.5,0.1319,4,0.0,0.0,Unknown,0.0,0.0,0.0
CNQ,3,0.566,0.0,0.6667,0.1321,3,0.0,0.0,Unknown,0.0,0.0,0.0
OUT,7,0.5659,0.0,0.7143,0.1317,7,0.0,0.0,Unknown,0.0,0.0,0.0
FC,5,0.5659,0.0,0.4,0.1318,5,0.0,0.0,Unknown,0.0,0.0,0.0
BBWI,11,0.5658,0.0909,0.5455,0.1315,11,0.0,0.0,Unknown,0.0,0.0,0.0
SHYD,3,0.5657,0.0,1.0,0.1315,3,0.0,0.0,Unknown,0.0,0.0,0.0
TGT,13,0.5655,0.0769,0.3846,0.1309,13,0.5072,0.5582,Consumer Defensive,43553157120.0,10.53,95.86
ROE,12,0.5655,0.0,0.5833,0.1311,12,0.0,0.0,Unknown,0.0,0.0,0.0
CGC,111,0.5652,0.027,0.7027,0.1303,111,0.0,0.0,Unknown,0.0,0.0,0.0
ATNM,43,0.5652,0.0,0.5581,0.1305,43,0.0,0.0,Unknown,0.0,0.0,0.0
BHV,6,0.5652,0.0,0.6667,0.1304,6,0.0,0.0,Unknown,0.0,0.0,0.0
NSR,4,0.5652,0.0,0.75,0.1305,4,0.0,0.0,Unknown,0.0,0.0,0.0
ATI,10,0.5651,0.0,0.6,0.1302,10,0.0,0.0,Unknown,0.0,0.0,0.0
D,163,0.565,0.0245,0.5337,0.1299,163,0.6583,0.6078,Utilities,47432232960.0,21.47,55.62
CACI,8,0.565,0.0,0.5,0.1299,8,0.0,0.0,Unknown,0.0,0.0,0.0
LI,7,0.565,0.0,0.5714,0.13,7,0.0,0.0,Unknown,0.0,0.0,0.0
AEP,4,0.565,0.0,1.0,0.13,4,0.6583,0.6078,Utilities,54578704384.0,19.72,102.17
ALGN,4,0.565,0.0,0.5,0.13,4,0.5927,0.5837,Healthcare,13235725312.0,33.26,182.6
SMI,3,0.565,0.0,1.0,0.13,3,0.0,0.0,Unknown,0.0,0.0,0.0
AXL,6,0.5649,0.0,0.6667,0.1297,6,0.0,0.0,Unknown,0.0,0.0,0.0
HEI,11,0.5648,0.0,0.5455,0.1297,11,0.0,0.0,Unknown,0.0,0.0,0.0
APEI,3,0.5646,0.0,0.6667,0.1292,3,0.0,0.0,Unknown,0.0,0.0,0.0
EDV,10,0.5644,0.0,0.6,0.1288,10,0.0,0.0,Unknown,0.0,0.0,0.0
CVLT,5,0.5644,0.0,0.2,0.1288,5,0.0,0.0,Unknown,0.0,0.0,0.0
ISRG,8,0.5641,0.0,0.375,0.1281,8,0.5927,0.5837,Healthcare,198818054144.0,80.98,554.71
APG,3,0.5641,0.0,0.3333,0.1282,3,0.0,0.0,Unknown,0.0,0.0,0.0
RIVN,10,0.5637,0.0,0.4,0.1273,10,0.0,0.0,Unknown,0.0,0.0,0.0
BMO,37,0.5636,0.0541,0.5676,0.1272,37,0.0,0.0,Unknown,0.0,0.0,0.0
RXO,8,0.5636,0.0,1.0,0.1273,8,0.0,0.0,Unknown,0.0,0.0,0.0
RSVR,5,0.5636,0.0,0.6,0.1273,5,0.0,0.0,Unknown,0.0,0.0,0.0
CIVI,146,0.5635,0.0137,0.6233,0.1271,146,0.0,0.0,Unknown,0.0,0.0,0.0
SNPS,17,0.5635,0.0588,0.7059,0.1271,17,0.5672,0.5757,Technology,72014266368.0,55.98,465.75
NSSC,98,0.5633,0.0204,0.602,0.1267,98,0.0,0.0,Unknown,0.0,0.0,0.0
ANF,35,0.5633,0.0571,0.4,0.1267,35,0.0,0.0,Unknown,0.0,0.0,0.0
KO,12,0.5633,0.0,0.75,0.1267,12,0.5072,0.5582,Consumer Defensive,305710759936.0,28.52,71.03
MAC,10,0.5633,0.1,0.2,0.1266,10,0.0,0.0,Unknown,0.0,0.0,0.0
TSHA,9,0.5631,0.2222,0.7778,0.1262,9,0.0,0.0,Unknown,0.0,0.0,0.0
ECF,3,0.563,0.0,1.0,0.1259,3,0.0,0.0,Unknown,0.0,0.0,0.0
DDC,13,0.5628,0.0,0.5385,0.1256,13,0.0,0.0,Unknown,0.0,0.0,0.0
TJX,8,0.5628,0.0,0.5,0.1257,8,0.4488,0.5652,Consumer Cyclical,142363639808.0,30.0,127.51
NUE,7,0.5628,0.0,0.5714,0.1257,7,0.3968,0.543,Basic Materials,24805709824.0,18.96,107.5
TER,5,0.5627,0.0,0.2,0.1253,5,0.5672,0.5757,Technology,12909799424.0,22.8,80.47
DT,3,0.5626,0.0,1.0,0.1252,3,0.0,0.0,Unknown,0.0,0.0,0.0
QRVO,4,0.5625,0.0,0.25,0.125,4,0.0,0.0,Unknown,0.0,0.0,0.0
ZS,18,0.5624,0.0,0.3889,0.1249,18,0.0,0.0,Unknown,0.0,0.0,0.0
BOX,15,0.5624,0.0,0.5333,0.1248,15,0.0,0.0,Unknown,0.0,0.0,0.0
HRL,9,0.5624,0.0,0.3333,0.1249,9,0.5072,0.5582,Consumer Defensive,16139947008.0,21.27,29.35
